category,zip code
LARCENY/THEFT,94114
"SEX OFFENSES, FORCIBLE",94110
FORGERY/COUNTERFEITING,94102
NON-CRIMINAL,94102
MISSING PERSON,94114
ASSAULT,94158
VANDALISM,94115
NON-CRIMINAL,94108
OTHER OFFENSES,94101
ASSAULT,94104
SUSPICIOUS OCC,94129
OTHER OFFENSES,94129
SUSPICIOUS OCC,94101
OTHER OFFENSES,94133
NON-CRIMINAL,94122
LARCENY/THEFT,94108
OTHER OFFENSES,94116
WARRANTS,94141
SUSPICIOUS OCC,94132
LARCENY/THEFT,94102
LARCENY/THEFT,94115
OTHER OFFENSES,94101
DRUG/NARCOTIC,94188
ASSAULT,94124
LARCENY/THEFT,94102
OTHER OFFENSES,94102
OTHER OFFENSES,94188
VEHICLE THEFT,94131
LARCENY/THEFT,94118
BURGLARY,94122
BURGLARY,94108
OTHER OFFENSES,94118
NON-CRIMINAL,94108
SUSPICIOUS OCC,94110
OTHER OFFENSES,94101
NON-CRIMINAL,94116
OTHER OFFENSES,94108
FORGERY/COUNTERFEITING,94123
NON-CRIMINAL,94117
LARCENY/THEFT,94123
NON-CRIMINAL,94101
OTHER OFFENSES,Not in San Francisco
NON-CRIMINAL,94114
MISSING PERSON,94141
OTHER OFFENSES,94115
ROBBERY,94133
OTHER OFFENSES,94141
NON-CRIMINAL,94108
OTHER OFFENSES,94102
LARCENY/THEFT,94123
DRUG/NARCOTIC,94108
OTHER OFFENSES,94121
DISORDERLY CONDUCT,94104
VANDALISM,94112
SUSPICIOUS OCC,94101
DRUNKENNESS,94104
LARCENY/THEFT,Not in San Francisco
NON-CRIMINAL,94104
ASSAULT,94115
NON-CRIMINAL,94121
DRUG/NARCOTIC,94108
NON-CRIMINAL,94132
OTHER OFFENSES,94134
NON-CRIMINAL,94105
DRUG/NARCOTIC,94108
ASSAULT,94101
OTHER OFFENSES,94114
FRAUD,94104
SUICIDE,94117
DRIVING UNDER THE INFLUENCE,94108
VANDALISM,94101
DRUG/NARCOTIC,94108
VEHICLE THEFT,94105
SUSPICIOUS OCC,94108
NON-CRIMINAL,94133
OTHER OFFENSES,94188
BURGLARY,94115
LARCENY/THEFT,94109
